company_name,domain,segment,priority_tier,naics_code,sam_pattern,target_title,personalization_angle
L3Harris Technologies,l3harris.com,Segment 5 - Systems Integrators / Primes,Cool,541519,digital_surveillance,VP - Intelligence Solutions / Cyber Director,"L3Harris's intelligence and surveillance portfolio supports law-enforcement and IC programs; Flare's dark-web and digital-surveillance capabilities complement their existing ISR technology stack."
Mandiant (Google Cloud Federal),mandiant.com,Segment 6 - Federal MSSPs,Hot,541519,cti_platform,VP - Federal / Director of Threat Intelligence - Government,"Mandiant Federal delivers managed detection and threat-intel services to civilian and IC agencies; Flare's dark-web and credential-leak monitoring fills a commercial OSINT gap alongside Mandiant's classified and premium intel feeds."
CrowdStrike Federal,crowdstrike.com,Segment 6 - Federal MSSPs,Hot,541519,cti_platform,VP - Federal Sales / Director of Intelligence - Government,"CrowdStrike Federal provides endpoint and threat-intel to DoD and civilian agencies; Flare's external dark-web and brand-monitoring capabilities complement CrowdStrike's Falcon Intelligence as a partner data source."
Palo Alto Networks Federal,paloaltonetworks.com,Segment 6 - Federal MSSPs,Hot,541519,cti_platform,VP - Federal / Director of Cortex XSOAR Government,"Palo Alto Federal's XSOAR and Unit 42 services serve major agency programs; Flare's dark-web feeds integrate natively with XSOAR playbooks and enrich Unit 42 investigations with commercial OSINT."
Secureworks,secureworks.com,Segment 6 - Federal MSSPs,Warm,541519,cti_platform,VP - Federal / Director of CTU Threat Intelligence Government,"Secureworks CTU and Taegis serve federal MDR programs; Flare's dark-web stealer-log and Telegram monitoring complements CTU intelligence and strengthens Taegis detections with external credential exposure signals."
Telos Corporation,telos.com,Segment 6 - Federal MSSPs,Warm,541519,cti_platform,VP - Cyber / Director of Xacta and Security Solutions,"Telos holds major FedRAMP and cybersecurity programs across DoD and civilian agencies; Flare's continuous external threat exposure management aligns with Telos's GRC and cyber-risk posture offerings."
Arctic Wolf Federal,arcticwolf.com,Segment 6 - Federal MSSPs,Warm,541519,cti_platform,Director of Federal Sales / Federal Security Operations,"Arctic Wolf's managed detection and response platform is expanding into federal; Flare's external-threat and dark-web monitoring enriches their Concierge Security Team with credential and brand-abuse intelligence."
Peraton,peraton.com,Segment 5 - Systems Integrators / Primes,Hot,541512,cti_platform,VP - Cyber Mission Solutions / Director of Threat Intelligence,"Peraton supports intelligence community and DHS cyber programs; Flare's dark-web monitoring and external attack-surface intelligence fills commercial OSINT gaps in Peraton's managed cyber operations."
Parsons Corporation,parsons.com,Segment 5 - Systems Integrators / Primes,Cool,541512,digital_surveillance,VP - Cyber / Director of Intelligence Solutions,"Parsons supports DHS, DoD, and IC cyber programs; Flare's dark-web and digital-surveillance capabilities complement their open-source intelligence and cyber mission support offerings."
Unison,unisongt.com,Segment 5 - Systems Integrators / Primes,Cool,541512,cti_platform,Director of Cyber Solutions,"Mid-tier integrator with federal cyber programs; Flare's subscription model is suitable for inclusion in a prime-led CTI or digital-risk-protection task order."
SilverSky,silversky.com,Segment 6 - Federal MSSPs,Cool,541519,cti_platform,VP of Federal / Director of Managed Security,"SilverSky provides managed security services to mid-size federal contractors; Flare's dark-web monitoring adds external threat context to their SOC offering for the federal supply chain."
Coalfire Federal,coalfire.com,Segment 6 - Federal MSSPs,Cool,541519,cti_platform,Director of Federal Cyber Advisory,"Coalfire supports FedRAMP assessments and cyber advisory for civilian agencies; Flare's external attack-surface and credential-leak monitoring strengthens their continuous monitoring advisory practice."
Optiv Federal,optiv.com,Segment 6 - Federal MSSPs,Cool,541519,cti_platform,VP - Federal / Director of Threat and Response,"Optiv's federal cyber practice delivers threat intelligence and security operations services; Flare's dark-web telemetry enriches Optiv's threat-intel advisory and MDR offerings for agency clients."
