email,firstname,lastname,jobtitle,company,tier_reason
federal.director@coalfire.com,Director,Federal,Director Coalfire Federal,Coalfire Federal,Tier 3 — MSSP federal compliance and security
ciso@telos.com,CISO,Telos,CISO,Telos Corporation,Tier 3 — MSSP federal security solutions
federal.vp@presidio.com,VP,Federal,VP Presidio Federal,Presidio Federal,Tier 3 — MSSP federal practice
cyber.research@noblis.org,Director,Cyber Research,Director Cyber & Threat Intel Programs,Noblis,Tier 3 — FFRDC influences federal buys
cti.programs@mitre.org,Lead,CTI Programs,Lead Cyber Threat Intelligence Programs,MITRE,Tier 3 — FFRDC CTI programs
cyber.solutions@cdwg.com,Director,Cyber Solutions,Director Cyber Solutions,CDW Government (CDW-G),Tier 3/4 — distributor cyber solutions federal channel
federal.cyber@immersionnet.com,Director,Federal Cyber,Director Federal Cyber Solutions,Immersion Networks,Tier 4 — distributor federal cyber
federal.advisory@unisonind.com,Director,Advisory,Director Federal Advisory,Unison,Tier 4 — distributor federal advisory
vendor.alliances@carahsoft.com,Director,Vendor Alliances,Director Vendor Alliances Cyber,Carahsoft Technology,Tier 4 — GSA vehicle listing and distribution
gov.sales@cdwg.com,VP,Government Sales,VP Government Cyber Sales,CDW Government (CDW-G),Tier 4 — federal distribution channel
